Basin,Category Group,Threshold,Mean,Std Dev,Median,Min,Max,Burst Count,Timebin Count,Burst Percentage,Basin-Category Effective Threshold (Mean-Based) 2 SD,Basin-Category Effective Threshold (Median-Based) 2 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 2 SD,Basin-Category Effective Threshold Bursts (Median-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 2 SD,Basin-Category Effective Threshold (Mean-Based) 1.5 SD,Basin-Category Effective Threshold (Median-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Median-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 1.5 SD,Mean (Effective),Median (Effective),Std Dev (Effective)
ATL,1-2,logn1,5.32450948090206,1.1826461545712807,5.2785188287850495,1.6305748986668251,8.659291347035301,82,2969,2.76,6.969284510700668,6.956185976961868,10,0.34,10,0.34,6.452130487111962,6.439031953373162,20,0.67,20,0.67,4.900668416345843,4.887569882607044,1.0343080471774124
ATL,1-2,logn2,6.7334562394629005,1.4925868897318713,6.685786236170838,1.9695589531698323,10.852507824931196,5,2969,0.17,5.640286294332378,5.396087683979244,63,2.12,92,3.1,5.417555906636142,5.173357296283008,90,3.03,120,4.04,4.749364743547437,4.505166133194303,0.4454607753924702
ATL,3-5,mad1,5.999954268661988,1.9461028949167165,6.002758553726741,0.6931471805599453,11.56672362959945,13,1564,0.83,5.836644953871165,6.119717727733404,11,0.7,4,0.26,5.3464362927777325,5.6295090666399705,25,1.6,17,1.09,3.8758103094974334,4.158883083359672,0.980417322186866
ATL,3-5,mad2,6.9544348892234265,2.255698914009832,6.983587806738466,0.6931471805599453,13.39042514670398,9,1564,0.58,6.430047377641722,6.430047377641722,2,0.13,2,0.13,5.81978154487236,5.81978154487236,11,0.7,11,0.7,3.9889840465642736,3.9889840465642736,1.2205316655387242
ATL,3-5,iqr1,5.167131713755304,1.561338094905773,5.225746673713201,2.525728644308255,9.774168688339287,13,1564,0.83,3.325430842551116,3.1002244464080664,264,16.88,308,19.69,3.181806892026163,2.9566004958831136,287,18.35,349,22.31,2.7509350404513047,2.525728644308255,0.2872479010499055
ATL,3-5,iqr2,6.144544982727712,1.8515316770292292,6.129823864032977,2.9838740102453327,11.581476190288324,2,1564,0.13,3.4871450122888707,3.3858552585144515,230,14.71,250,15.98,3.386649700221591,3.285359946447172,250,15.98,270,17.26,3.085163764019752,2.9838740102453327,0.2009906241345593
ATL,3-5,logn1,4.807280787583969,1.347597497395428,4.814248811189286,2.310379702673492,8.659291347035301,22,1564,1.41,6.296301295061792,5.5118163907425615,3,0.19,20,1.28,5.692615052883943,4.908130148564712,14,0.9,55,3.52,3.881556326350396,3.097071422031166,1.2073724843556977
ATL,3-5,logn2,6.04135104980003,1.6937295643771295,6.073002014468129,2.894750694170795,10.852507824931196,2,1564,0.13,4.060779621756685,4.060779621756685,132,8.44,132,8.44,3.9887300875840537,3.9887300875840537,143,9.14,143,9.14,3.772581485066159,3.772581485066159,0.1440990683452631
EPAC,0-2,mad1,6.527583785520431,2.1731214591740757,6.66821819325957,0.6931471805599453,10.96240852709412,82,3850,2.13,8.003308645241486,7.827488492547266,0,0.0,0,0.0,7.141943180773139,6.96612302807892,3,0.08,8,0.21,4.557846787368102,4.382026634673883,1.7227309289366914
EPAC,0-2,mad2,7.576961250019741,2.54414737813746,7.612679802100421,0.6931471805599453,12.785568446941689,52,3850,1.35,6.682197013887896,5.900784889870138,23,0.6,113,2.94,5.9884852487225935,5.207073124704836,103,2.68,281,7.3,3.907349953226688,3.125937829208931,1.3874235303306035
EPAC,0-2,iqr1,5.592080858060752,1.6020295159528226,5.703782474656201,0.6931471805599453,9.045239974541722,119,3850,3.09,5.631461601580598,5.689921753335023,170,4.42,157,4.08,5.134306656774966,5.192766808529391,306,7.95,287,7.45,3.642841822358069,3.7013019741124937,0.9943098896112644
EPAC,0-2,iqr2,6.6600953863044525,1.929694653266544,6.775983457641472,0.6931471805599453,10.829706848402529,40,3850,1.04,5.770031719933113,6.255732849823328,140,3.64,72,1.87,5.319433675602438,5.805134805492654,247,6.42,134,3.48,3.9676395426104154,4.45334067250063,0.9011960886613488
EPAC,0-2,logn1,5.233588509630799,1.2701832261377564,5.285497267128827,0.6931471805599453,7.998327016305833,141,3850,3.66,6.732012801514254,6.643752808800905,18,0.47,27,0.7,6.211264306540282,6.123004313826932,77,2.0,88,2.29,4.649018821618365,4.560758828905016,1.0414969899479445
EPAC,0-2,logn2,6.606665636812507,1.5989392475328144,6.761672300318272,0.6931471805599453,9.996606439374252,6,3850,0.16,6.8099726874282345,7.171973051111962,16,0.42,3,0.08,6.359124103408161,6.721124467091888,56,1.45,20,0.52,5.006578351347939,5.368578715031667,0.9016971680401474
EPAC,1-2,mad1,6.119381162697972,2.1658508506282264,6.063117046700158,0.6931471805599453,10.96240852709412,34,1561,2.18,7.257060449679372,6.746843773788539,1,0.06,2,0.13,6.483534608106753,5.97331793221592,3,0.19,12,0.77,4.162957083388896,3.652740407498064,1.5470516831452377
EPAC,1-2,mad2,7.104991492012772,2.5438131971933924,7.004326676694907,0.6931471805599453,12.785568446941689,25,1561,1.6,4.470806976065668,4.217383720144272,107,6.85,146,9.35,4.197945503331832,3.9445222474104367,146,9.35,186,11.92,3.379361085130326,3.125937829208931,0.5457229454676705
EPAC,1-2,iqr1,5.246400163692616,1.5884513210250089,5.17237614319019,0.6931471805599453,9.045239974541722,42,1561,2.69,4.977880719221089,5.045185635670856,63,4.04,61,3.91,4.619825484645926,4.687130401095693,96,6.15,90,5.77,3.545659780920438,3.612964697370206,0.7161104691503251
EPAC,1-2,iqr2,6.251145367490754,1.922061776711111,6.19081710682071,0.6931471805599453,10.829706848402529,15,1561,0.96,5.490936172267633,5.889181441622089,30,1.92,14,0.9,5.131975979987268,5.530221249341724,57,3.65,28,1.79,4.055095403146174,4.45334067250063,0.7179203845607293
EPAC,1-2,logn1,4.931580514273895,1.2558434116489434,4.967779914496241,0.6931471805599453,7.998327016305833,51,1561,3.27,6.43950041094014,6.474824113810644,3,0.19,3,0.19,5.960984089713733,5.996307792584236,12,0.77,12,0.77,4.525435126034512,4.560758828905016,0.957032642452814
EPAC,1-2,logn2,6.227157164169446,1.591641472232569,6.221870935511944,0.6931471805599453,9.996606439374252,2,1561,0.13,7.337199950473423,7.337199950473423,1,0.06,1,0.06,6.815025997951485,6.815025997951485,2,0.13,2,0.13,5.248504140385672,5.248504140385672,1.0443479050438758
EPAC,3-5,mad1,5.719598124472628,1.6353175826092712,5.792262358221201,0.6931471805599453,10.223270901139616,11,1398,0.79,6.65142281212188,5.928513637911492,0,0.0,2,0.14,6.159440545654651,5.436531371444263,1,0.07,11,0.79,4.6834937462529656,3.9605845720425776,0.9839645329344572
EPAC,3-5,mad2,6.603651788534759,1.907558668764604,6.677851738985218,0.6931471805599453,11.946037498880722,1,1398,0.07,,,0,0.0,0,0.0,,,0,0.0,0,0.0,,,
EPAC,3-5,iqr1,4.990126894517377,1.245535895166522,5.17237614319019,0.6931471805599453,8.230523939222149,13,1398,0.93,5.043004157406177,4.918208046125518,25,1.79,31,2.22,4.694609001031777,4.569812889751119,41,2.93,52,3.72,3.649423531908576,3.524627420627918,0.6967903127488003
EPAC,3-5,iqr2,5.898324972192574,1.4807188728482257,6.19081710682071,0.6931471805599453,9.88579544591916,0,1398,0.0,,,0,0.0,0,0.0,,,0,0.0,0,0.0,2.844409290673952,2.844409290673952,
EPAC,3-5,logn1,4.755954944419363,0.9859979668758232,5.033171437943711,0.6931471805599453,6.9992975126098695,16,1398,1.14,6.245230938435388,6.657685891025506,0,0.0,0,0.0,5.784946831861058,6.197401784451175,4,0.29,1,0.07,4.404094512138067,4.816549464728185,0.9205682131486604
EPAC,3-5,logn2,5.96351457829206,1.226996998017144,6.285002923011245,0.6931471805599453,8.822180663929192,0,1398,0.0,,,0,0.0,0,0.0,,,0,0.0,0,0.0,,,
WPAC,0-2,mad1,6.283196904370871,1.8391239616363837,6.120541589383125,0.6931471805599453,11.302806481353764,135,7307,1.85,7.674015121364333,7.904735615008446,0,0.0,0,0.0,6.975659433074648,7.20637992671876,18,0.25,9,0.12,4.880592368205589,5.111312861849701,1.3967113765793724
WPAC,0-2,mad2,7.292880308453313,2.14561123560595,7.141924877968732,0.6931471805599453,12.955114758181953,68,7307,0.93,7.934190904952662,8.0063439331307,0,0.0,0,0.0,7.145612487649892,7.217765515827929,12,0.16,9,0.12,4.77987723574158,4.852030263919617,1.5771568346055411
WPAC,0-2,iqr1,5.479200981733267,1.4635394473480334,5.416100402204421,0.6931471805599453,10.421218788453231,210,7307,2.87,5.986165081625561,5.920164752963432,163,2.23,176,2.41,5.456533223845596,5.390532895183466,342,4.68,376,5.15,3.8676376505056975,3.801637321843569,1.0592637155599314
WPAC,0-2,iqr2,6.522259462604802,1.7599161430459718,6.423551912475553,0.6931471805599453,12.506663100146582,61,7307,0.83,6.912842573787663,7.026157696141868,18,0.25,17,0.23,6.256323202438995,6.3696383247932005,111,1.52,88,1.2,4.286765088392992,4.400080210747197,1.3130387426973358
WPAC,0-2,logn1,5.107832521112493,1.1638445318961124,5.009504321078399,1.0085089313107398,8.512224589788117,251,7307,3.44,6.690349612969863,6.5958449002817545,30,0.41,41,0.56,6.171198521503847,6.0766938088157385,125,1.71,143,1.96,4.613745247105799,4.51924053441769,1.0383021829320322
WPAC,0-2,logn2,6.446267916957946,1.4683127852747972,6.300064272863194,1.1436639673467943,10.6594832925115,10,7307,0.14,6.406328887380251,6.379605863993685,79,1.08,87,1.19,6.156835004596223,6.130111981209656,128,1.75,134,1.83,5.408353356244137,5.38163033285757,0.4989877655680572
WPAC,1-2,mad1,6.327345430758934,1.8411468120097736,6.041100745555974,0.6931471805599453,11.302806481353764,52,4020,1.29,7.585629355266333,7.855815553507016,0,0.0,0,0.0,6.859106689648574,7.129292887889258,11,0.27,4,0.1,4.679538692795298,4.949724891035982,1.4530453312355174
WPAC,1-2,mad2,7.344785479661551,2.1492496360749143,6.983587806738466,0.6931471805599453,12.955114758181953,26,4020,0.65,8.438365882111587,9.224929877652816,0,0.0,0,0.0,7.520064591262246,8.306628586803477,0,0.0,0,0.0,4.765160718714222,5.551724714255452,1.8366025816986824
WPAC,1-2,iqr1,5.495006296237488,1.4962746302214742,5.416100402204421,0.6931471805599453,10.421218788453231,81,4020,2.01,6.1856124511513375,6.259346736289851,72,1.79,65,1.62,5.567504399590613,5.641238684729125,151,3.76,135,3.36,3.713180244908437,3.78691453004695,1.2362161031214505
WPAC,1-2,iqr2,6.538750099353549,1.8000448002573393,6.423551912475553,0.6931471805599453,12.506663100146582,23,4020,0.57,7.25827803029958,6.805029852898771,3,0.07,14,0.35,6.448294838798404,5.995046661397595,42,1.04,91,2.26,4.018345264294874,3.565097086894064,1.6199663830023534
WPAC,1-2,logn1,5.10282514981892,1.187806447641352,4.987399614918457,1.0085089313107398,8.512224589788117,113,4020,2.81,6.757998122038341,6.613225025305935,16,0.4,24,0.6,6.212059132658236,6.067286035925831,69,1.72,82,2.04,4.574242164517923,4.429469067785517,1.091877978760209
WPAC,1-2,logn2,6.435606919030011,1.499676311270118,6.290301282871701,1.1436639673467943,10.6594832925115,5,4020,0.12,6.887768864956652,7.16976386029264,10,0.25,4,0.1,6.544192297588868,6.826187292924857,30,0.75,13,0.32,5.5134625954855165,5.795457590821505,0.6871531347355676
WPAC,3-5,mad1,6.2948238262664615,1.4535432128729615,6.041100745555974,0.6931471805599453,11.302806481353764,16,4699,0.34,7.191292409086365,7.311585697382565,0,0.0,0,0.0,6.554212823213518,6.67450611150972,12,0.26,9,0.19,4.642974065594982,4.763267353891182,1.2741591717456917
WPAC,3-5,mad2,7.269431733986231,1.6686564586252948,6.983587806738466,0.6931471805599453,12.955114758181953,10,4699,0.21,5.679624195833068,5.231624793144175,57,1.21,117,2.49,5.077894178391722,4.62989477570283,153,3.26,303,6.45,3.2727041260676875,2.824704723378796,1.2034600348826898
WPAC,3-5,iqr1,5.379035824296536,1.1969128447910886,5.365248074690898,1.9356005054539451,10.421218788453231,44,4699,0.94,4.735573104311859,4.837699545833572,255,5.43,209,4.45,4.298908831193045,4.401035272714758,472,10.04,409,8.7,2.9889160118366034,3.091042453358316,0.8733285462376278
WPAC,3-5,iqr2,6.368475585303107,1.4247110516668915,6.35998650308365,2.2462138366774456,12.506663100146582,8,4699,0.17,4.415581981802697,4.519181429456757,403,8.58,349,7.43,4.101036188391743,4.204635636045803,611,13.0,542,11.53,3.157398808158881,3.260998255812941,0.6290915868219081
WPAC,3-5,logn1,5.03011932483748,0.9565635456550384,4.979083251637682,2.141958722571553,8.512224589788117,61,4699,1.3,6.151639435617424,6.239102879149814,28,0.6,26,0.55,5.73506730061715,5.822530744149541,49,1.04,44,0.94,4.485350895616329,4.572814339148719,0.8331442700005475
WPAC,3-5,logn2,6.305511626562943,1.1858822213021345,6.247248286413049,2.670544139465669,10.6594832925115,1,4699,0.02,,,0,0.0,0,0.0,,,0,0.0,0,0.0,2.913312096385839,2.913312096385839,
SHEM,0-2,mad1,6.008510173562369,2.036056288365904,6.002758553726741,0.6931471805599453,10.259878476567128,154,6172,2.5,7.794082726825847,7.929364208225986,3,0.05,1,0.02,6.851462445609268,6.986743927009408,16,0.26,12,0.19,4.023601601959532,4.158883083359672,1.8852405624331572
SHEM,0-2,mad2,6.9563035862966345,2.366982156919444,6.983587806738466,0.6931471805599453,11.83227511732088,89,6172,1.44,6.92282999004763,6.974509831314084,14,0.23,13,0.21,5.960686989521342,6.012366830787796,74,1.2,67,1.09,3.0742579879424774,3.125937829208931,1.9242860010525764
SHEM,0-2,iqr1,5.234798839074082,1.532244492669533,5.2574953720277815,0.6931471805599453,8.696231586751273,177,6172,2.87,5.637551562496583,5.58867045548231,149,2.41,156,2.53,5.005451647298895,4.956570540284623,374,6.06,400,6.48,3.1091519017058338,3.060270794691562,1.2641998303953743
SHEM,0-2,iqr2,6.222593048751025,1.8300180949142757,6.321376677076183,0.6931471805599453,10.320983339105036,58,6172,0.94,5.361375703531255,4.931503566288786,226,3.66,416,6.74,4.735003594949012,4.305131457706541,539,8.73,820,13.29,2.8558872692022783,2.4260151319598084,1.2527442171644887
SHEM,0-2,logn1,4.903401770648443,1.2214177373607775,5.0117380122113,0.6931471805599453,7.7242781278081,209,6172,3.39,6.627134166242881,6.736128290857881,27,0.44,23,0.37,6.07586904262629,6.18486316724129,62,1.0,53,0.86,4.422073671776517,4.531067796391517,1.1025302472331815
SHEM,0-2,logn2,6.175258896420102,1.510692589221338,6.326662381056332,0.6931471805599453,9.653251164738004,11,6172,0.18,5.823400193579584,5.802061284587497,96,1.56,103,1.67,5.409588569313717,5.38824966032163,217,3.52,221,3.58,4.168153696516117,4.14681478752403,0.8276232485317334
SHEM,1-2,mad1,5.907728349511519,2.01601425822302,5.940025469499822,0.6931471805599453,10.259878476567128,58,2901,2.0,6.8989129215087255,6.227366878208933,0,0.0,7,0.24,6.0941099003446295,5.422563857044837,12,0.41,71,2.45,3.679700836852341,3.0081547935525483,1.6096060423281922
SHEM,1-2,mad2,6.832219846151222,2.3413825906280654,6.938554299610948,0.6931471805599453,11.83227511732088,31,2901,1.07,6.704247313953868,6.933530220407865,2,0.07,0,0.0,5.752349216154135,5.981632122608131,35,1.21,17,0.59,2.8966549227549345,3.125937829208931,1.903796195599467
SHEM,1-2,iqr1,5.145983581608533,1.5519173731340288,5.2574953720277815,0.6931471805599453,8.696231586751273,61,2901,2.1,5.580940963964514,5.304012171805049,49,1.69,81,2.79,4.965385391930587,4.688456599771121,134,4.62,209,7.2,3.118718675828807,2.8417898836693407,1.2311111440678535
SHEM,1-2,iqr2,6.11122538467028,1.854189517223148,6.2972161428677005,0.6931471805599453,10.320983339105036,17,2901,0.59,5.657802694245213,5.153852565906205,46,1.59,100,3.45,4.975843335758613,4.471893207419607,131,4.52,264,9.1,2.929965260298816,2.4260151319598084,1.3639187169731983
SHEM,1-2,logn1,4.800662177047666,1.2478244080145255,4.907601705256781,0.6931471805599453,7.7242781278081,63,2901,2.17,6.394082799086986,6.673787784245759,4,0.14,2,0.07,5.859758227904228,6.139463213063002,23,0.79,10,0.34,4.256784514355957,4.5364894995147305,1.0686491423655144
SHEM,1-2,logn2,6.035781696836765,1.543425263039986,6.213425089884821,0.6931471805599453,9.653251164738004,4,2901,0.14,4.910864413895293,4.910864413895293,146,5.03,146,5.03,4.679969465156312,4.679969465156312,214,7.38,214,7.38,3.98728461893937,3.98728461893937,0.4617898974779617
SHEM,3-5,mad1,5.027210931305587,1.6759491618369942,4.852030263919616,0.6931471805599453,9.532847530447858,13,1561,0.83,6.590630644447561,5.597521188497629,0,0.0,4,0.26,5.871368527598346,4.878259071648413,1,0.06,27,1.73,3.713582177050699,2.7204727211007667,1.4385242336984312
SHEM,3-5,mad2,5.805059452006775,1.95663612900854,5.545177444479561,0.6931471805599453,10.868645727553217,3,1561,0.19,3.8859543459983623,3.78219152579285,117,7.5,131,8.39,3.721890921852383,3.61812810164687,143,9.16,155,9.93,3.229700649414444,3.125937829208931,0.3281268482919596
SHEM,3-5,iqr1,4.36791708569216,1.415470321524262,4.567814399444323,0.6931471805599453,8.220044226791531,26,1561,1.67,3.7321155414188585,3.903011928914867,143,9.16,115,7.37,3.478955498664183,3.649851886160192,183,11.72,151,9.67,2.719475370400156,2.8903717578961645,0.5063200855093513
SHEM,3-5,iqr2,5.172655118482631,1.70629692125066,5.435114927138376,0.6931471805599453,9.72574913915536,10,1561,0.64,4.272267258706329,4.610154848796466,70,4.48,45,2.88,3.979648022064767,4.317535612154904,98,6.28,67,4.29,3.101790312140082,3.439677902230219,0.5852384732831233
SHEM,3-5,logn1,4.185527297944111,1.1424752768865525,4.273302942379307,0.6931471805599453,7.370892609262636,31,1561,1.99,5.8559009011349445,6.008327087512086,1,0.06,0,0.0,5.32512655141303,5.477552737790171,11,0.7,5,0.32,3.732803502247284,3.8852296886244257,1.0615486994438303
SHEM,3-5,logn2,5.253052991224862,1.441041824568118,5.408033836434665,0.6931471805599453,9.180768844347538,1,1561,0.06,,,0,0.0,0,0.0,,,0,0.0,0,0.0,3.1268537004898267,3.1268537004898267,
IO,0-2,mad1,5.240344764278087,1.6835322727059372,5.335101590604128,0.6931471805599453,8.030084094267563,41,1328,3.09,7.451705583183456,7.43201323537563,0,0.0,0,0.0,6.831133497098544,6.811441149290718,3,0.23,3,0.23,4.969417238843808,4.949724891035982,1.2411441721698242
IO,0-2,mad2,6.080660511376609,1.9868553374936349,6.182399450991332,0.6931471805599453,9.416378455387454,16,1328,1.2,7.756315006147949,8.053752709909691,0,0.0,0,0.0,7.172863681547916,7.470301385309657,0,0.0,0,0.0,5.422509707747815,5.7199474115095565,1.1669026492000674
IO,0-2,iqr1,4.6096783398372025,1.249549412868635,4.51085950651685,0.6931471805599453,6.685028307553143,62,1328,4.67,5.388722011963844,5.340908199900418,29,2.18,33,2.48,4.978820455516862,4.931006643453436,64,4.82,67,5.05,3.74911578617592,3.7013019741124937,0.8198031128939619
IO,0-2,iqr2,5.482274787630779,1.5081865193546762,5.465287588006076,0.6931471805599453,8.081632312274403,24,1328,1.81,6.304466670770471,6.462384677512289,7,0.53,6,0.45,5.784843113884377,5.942761120626195,21,1.58,15,1.13,4.225972443226095,4.383890449967913,1.039247113772188
IO,0-2,logn1,4.464874058935191,1.101479454613857,5.002996120395472,1.4192037756455158,5.968312904835962,63,1328,4.74,6.5622070118492495,7.026992545923733,5,0.38,0,0.0,6.0562079054671845,6.520993439541668,9,0.68,6,0.45,4.5382105863209885,5.002996120395472,1.0119982127641305
IO,0-2,logn2,5.648239729886229,1.424865253236247,6.40376026412038,1.6688790431424356,7.641043937546959,2,1328,0.15,4.965640744009491,4.965640744009491,64,4.82,64,4.82,4.690801021734398,4.690801021734398,79,5.95,79,5.95,3.86628185490912,3.86628185490912,0.5496794445501857
IO,1-2,mad1,4.74499590919962,1.63810539113417,4.763267353891182,0.6931471805599453,8.030084094267563,11,553,1.99,5.473405797722799,6.027501376990598,1,0.18,0,0.0,5.006251224315067,5.560346803582866,5,0.9,0,0.0,3.604787504091872,4.158883083359672,0.9343091468154632
IO,1-2,mad2,5.495768054170863,1.9347343583153185,5.551724714255452,0.6931471805599453,9.416378455387454,3,553,0.54,3.952014144733411,3.952014144733411,27,4.88,27,4.88,3.7438011866799967,3.7438011866799967,36,6.51,36,6.51,3.1191623125197543,3.1191623125197543,0.4164259161068283
IO,1-2,iqr1,4.232509400400348,1.1601334624392483,4.068340412331825,1.5040773967762735,6.685028307553143,11,553,1.99,4.9165670411324935,5.249952111095238,10,1.81,2,0.36,4.470512989058616,4.8038980590213605,15,2.71,11,1.99,3.1323508328369813,3.465735902799726,0.8921081041477562
IO,1-2,iqr2,5.025937778440572,1.3977643964069022,4.810772443247754,1.706809950830356,8.081632312274403,2,553,0.36,2.803618677487341,2.719031995085875,96,17.36,101,18.26,2.730364461705825,2.645777779304358,101,18.26,103,18.63,2.510601814361275,2.4260151319598084,0.1465084315630331
IO,1-2,logn1,4.143372590636217,1.1192505734841869,4.135261545777878,1.4192037756455158,5.968312904835962,11,553,1.99,4.931074511254113,5.153897019662771,10,1.81,3,0.54,4.569765014665654,4.792587523074311,13,2.35,11,1.99,3.485836524900276,3.708659033308933,0.7226189931769186
IO,1-2,logn2,5.235005293158024,1.4548260034191878,5.204224711445168,1.6688790431424356,7.641043937546959,1,553,0.18,,,0,0.0,0,0.0,,,0,0.0,0,0.0,3.4775997921888284,3.4775997921888284,
IO,3-5,mad1,4.131889348831527,1.4013513826037498,4.763267353891182,0.6931471805599453,8.030084094267563,18,322,5.59,6.015237260343042,6.533142504104793,0,0.0,0,0.0,5.572768472789639,6.0906737165513904,0,0.0,0,0.0,4.245362110129431,4.763267353891182,0.8849375751068055
IO,3-5,mad2,4.782175021089468,1.6570830745329623,5.551724714255452,0.6931471805599453,9.416378455387454,11,322,3.42,7.248471007835555,8.057066636184397,0,0.0,0,0.0,6.62213552735332,7.43073115570216,0,0.0,0,0.0,4.743129085906612,5.551724714255452,1.2526709609644724
IO,3-5,iqr1,3.693064685054921,1.00860975162336,4.007333185232471,1.5040773967762735,6.685028307553143,13,322,4.04,5.199992838745037,4.457580878120211,2,0.62,8,2.48,4.661243892463496,3.918831931838669,6,1.86,15,4.66,3.0449970536188715,2.302585092994045,1.0774978925630827
IO,3-5,iqr2,4.402591990998619,1.2345818313819232,4.835879686400602,1.706809950830356,8.081632312274403,6,322,1.86,4.583008349593825,4.255996410109116,6,1.86,11,3.42,4.1255130300564975,3.7985010905717895,11,3.42,15,4.66,2.753027071444517,2.4260151319598084,0.914990639074654
IO,3-5,logn1,3.94227061362676,1.151285434522403,4.285216712706611,1.4192037756455158,5.968312904835962,13,322,4.04,5.431568824019047,5.910457297397048,2,0.62,0,0.0,5.025258677846439,5.504147151224438,4,1.24,0,0.0,3.8063282393286113,4.285216712706611,0.812620292345218
IO,3-5,logn2,5.023104240441898,1.514494178939432,5.505116980603908,1.6688790431424356,7.641043937546959,0,322,0.0,,,0,0.0,0,0.0,,,0,0.0,0,0.0,,,
